TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-11 01:02:00,3321.28,3322.27,3321.28,3322.04,40,8,0
2025-06-11 01:03:00,3322.04,3322.32,3321.71,3322.23,44,8,0
2025-06-11 01:04:00,3322.23,3322.94,3322.23,3322.36,21,7,0
2025-06-11 01:05:00,3322.36,3323.82,3322.36,3323.82,44,8,0
2025-06-11 01:06:00,3323.82,3323.82,3323.63,3323.64,11,7,0
2025-06-11 01:07:00,3323.64,3323.66,3323.35,3323.49,24,6,0
2025-06-11 01:08:00,3323.49,3323.73,3323.37,3323.67,25,6,0
2025-06-11 01:09:00,3323.67,3323.88,3323.66,3323.88,31,6,0
2025-06-11 01:10:00,3323.88,3324.06,3322.84,3323.52,37,6,0
2025-06-11 01:11:00,3323.52,3323.88,3322.77,3323.47,39,9,0
2025-06-11 01:12:00,3323.51,3324.55,3323.41,3323.75,70,11,0
2025-06-11 01:13:00,3323.75,3323.8,3322.89,3323.03,90,10,0
2025-06-11 01:14:00,3323.05,3323.05,3321.53,3321.56,62,50,0
2025-06-11 01:15:00,3321.56,3322.57,3321.42,3322.52,58,8,0
2025-06-11 01:16:00,3322.52,3322.97,3322.12,3322.26,36,7,0
2025-06-11 01:17:00,3322.26,3322.26,3321.31,3321.53,35,10,0
2025-06-11 01:18:00,3321.55,3322.54,3321.24,3322.19,51,7,0
2025-06-11 01:19:00,3322.19,3322.59,3322.14,3322.51,33,6,0
2025-06-11 01:20:00,3322.51,3323.41,3322.51,3323.41,25,5,0
2025-06-11 01:21:00,3323.41,3323.69,3323.32,3323.68,29,5,0
2025-06-11 01:22:00,3323.68,3323.68,3323.37,3323.58,12,5,0
2025-06-11 01:23:00,3323.58,3323.62,3323.03,3323.51,18,5,0
2025-06-11 01:24:00,3323.51,3323.58,3322.54,3322.56,32,5,0
2025-06-11 01:25:00,3322.56,3322.65,3321.63,3321.97,70,7,0
2025-06-11 01:26:00,3321.98,3321.98,3321.25,3321.33,71,47,0
2025-06-11 01:27:00,3321.33,3321.33,3320.37,3320.58,102,40,0
2025-06-11 01:28:00,3320.65,3321.98,3320.58,3321.81,47,50,0
2025-06-11 01:29:00,3321.81,3322.23,3321.23,3322.09,93,12,0
2025-06-11 01:30:00,3322.09,3322.35,3321.21,3321.55,85,9,0
2025-06-11 01:31:00,3321.55,3322.5,3321.29,3322.47,56,6,0
2025-06-11 01:32:00,3322.47,3323.24,3321.87,3322.96,91,6,0
2025-06-11 01:33:00,3322.96,3323.43,3322.74,3323.06,67,10,0
2025-06-11 01:34:00,3323.06,3323.15,3322.27,3322.85,78,10,0
2025-06-11 01:35:00,3322.85,3323.5,3322.8,3322.8,52,6,0
2025-06-11 01:36:00,3322.81,3323.92,3322.81,3323.86,65,9,0
2025-06-11 01:37:00,3323.86,3323.96,3323.52,3323.87,38,5,0
2025-06-11 01:38:00,3323.87,3324.2,3323.64,3323.92,41,5,0
2025-06-11 01:39:00,3323.92,3324.26,3323.69,3324.06,43,5,0
2025-06-11 01:40:00,3324.06,3325.3,3324.03,3325.16,97,5,0
2025-06-11 01:41:00,3325.16,3325.88,3324.86,3325.68,76,5,0
2025-06-11 01:42:00,3325.68,3326.28,3325.24,3325.92,80,12,0
2025-06-11 01:43:00,3325.92,3326.29,3325.62,3326.28,53,10,0
2025-06-11 01:44:00,3326.28,3327.11,3326.28,3327.11,96,12,0
2025-06-11 01:45:00,3327.11,3327.5,3326.53,3326.53,88,5,0
2025-06-11 01:46:00,3326.58,3326.58,3324.67,3325.16,92,5,0
2025-06-11 01:47:00,3325.16,3325.28,3324.56,3324.81,63,12,0
2025-06-11 01:48:00,3324.81,3325.34,3324.54,3325.22,37,5,0
2025-06-11 01:49:00,3325.08,3325.48,3324.88,3325.48,24,5,0
2025-06-11 01:50:00,3325.48,3325.7,3325.05,3325.05,56,5,0
2025-06-11 01:51:00,3325.05,3325.06,3324.99,3325.05,13,5,0
2025-06-11 01:52:00,3325.05,3325.69,3324.92,3324.92,53,5,0
2025-06-11 01:53:00,3324.92,3325.24,3324.4,3324.5,75,5,0
2025-06-11 01:54:00,3324.5,3324.59,3323.85,3324.49,82,8,0
2025-06-11 01:55:00,3324.49,3324.53,3323.92,3324.08,59,5,0
2025-06-11 01:56:00,3324.08,3324.91,3324.08,3324.88,48,5,0
2025-06-11 01:57:00,3324.94,3324.95,3324.36,3324.58,39,5,0
2025-06-11 01:58:00,3324.58,3324.59,3324.19,3324.21,28,5,0
2025-06-11 01:59:00,3324.21,3324.6,3324.2,3324.49,30,5,0
2025-06-11 02:00:00,3324.49,3325.17,3324.38,3325.03,42,5,0
2025-06-11 02:01:00,3325.05,3325.28,3324.6,3324.6,50,5,0
2025-06-11 02:02:00,3324.6,3324.62,3323.43,3323.43,53,6,0
2025-06-11 02:03:00,3323.43,3324.59,3323.41,3324.33,49,8,0
2025-06-11 02:04:00,3324.35,3324.63,3324.2,3324.21,41,5,0
2025-06-11 02:05:00,3324.13,3324.71,3324.11,3324.71,39,5,0
2025-06-11 02:06:00,3324.71,3326.1,3324.64,3326.1,62,5,0
2025-06-11 02:07:00,3326.09,3326.18,3325.78,3326.01,68,10,0
2025-06-11 02:08:00,3326.01,3326.41,3325.19,3325.2,58,6,0
